arm,keep_budget,acc,acc_ci95_lo,acc_ci95_hi,d_acc_vs_full,mean_tokens,relay_mb,relay_positions,compress_ratio_vs_full
full,,0.7,0.61,0.79,0.0,1304,101.6,650,1.0
B16,16,0.59,0.49,0.68,-0.11,1504,2.5,16,40.6
B32,32,0.6,0.5,0.7,-0.1,1412,5.0,32,20.3
B64,64,0.71,0.61,0.8,0.01,1303,10.0,64,10.2
B128,128,0.72,0.63,0.8,0.02,1136,20.0,128,5.1
none,,0.56,0.46,0.66,-0.14,1611,0.0,0,
