arm,keep_budget,acc,acc_ci95_lo,acc_ci95_hi,d_acc_vs_full,mean_tokens,relay_mb,relay_positions,compress_ratio_vs_full
full,,0.63,0.54,0.73,0.0,1304,104.94,672,1.0
B16,16,0.55,0.46,0.65,-0.08,1494,2.5,16,42.0
B32,32,0.57,0.48,0.67,-0.06,1431,5.0,32,21.0
B64,64,0.63,0.54,0.72,0.0,1342,10.0,64,10.5
B128,128,0.64,0.54,0.74,0.01,1197,20.0,128,5.2
none,,0.55,0.46,0.65,-0.08,1552,0.0,0,
