arm,keep_budget,acc,d_acc_vs_full,mean_tokens,relay_mb,relay_positions,compress_ratio_vs_full
full,,0.7833333333333333,0.0,1081.6,101.7734375,651.35,1.0
B16,16,0.6666666666666666,-0.1166666666666667,1376.2333333333333,2.5,16.0,40.709375
B32,32,0.6666666666666666,-0.1166666666666667,1274.15,5.0,32.0,20.3546875
B64,64,0.75,-0.033333333333333326,1181.6166666666666,10.0,64.0,10.17734375
B128,128,0.8,0.01666666666666672,1014.9166666666666,20.0,128.0,5.088671875
none,,0.7,-0.08333333333333337,1441.0333333333333,0.0,0.0,
